customer_id,tenure,monthly_charges,total_charges,num_services,support_tickets,avg_monthly_usage,senior_citizen,is_new_customer,tenure_squared,log_tenure,avg_charge_per_month,charge_ratio,is_high_value,charges_per_tenure,service_density,tickets_per_month,high_support_need,usage_per_service,low_usage,usage_trend_encoded,contract_risk_score,is_flexible_contract,payment_risk_score,has_auto_pay,household_size,is_single_household,is_senior,segment_value_score,churn_risk_score,high_risk_flag,churn
CUST_000001,11,93.0,1037.13,0,2,26.23,0,0,121,2.4849066497880004,86.42750000000001,1.3611072062491094,1,94.28454545454548,0.0,0.1818181818181818,0,26.23,1,0,3,1,3,0,1,1,0,2,4,0,1
CUST_000003,31,54.66,1773.17,7,1,51.68,0,0,961,3.4657359027997265,55.4115625,0.7999797838018959,0,57.19903225806452,0.2258064516129032,0.032258064516129,0,7.382857142857143,0,-1,3,1,3,0,1,1,0,1,6,1,1
CUST_000004,21,86.33,1761.98,1,1,94.87,0,0,441,3.091042453358316,80.09,1.263488011994469,0,83.90380952380953,0.0476190476190476,0.0476190476190476,0,94.87,0,0,2,0,3,0,1,1,0,2,1,0,1
CUST_000005,4,68.21,275.24,5,1,36.51,0,1,16,1.6094379124341005,55.048,0.9982916401962554,0,68.81,1.25,0.25,0,7.302,0,0,3,1,3,0,1,1,0,1,6,1,0
CUST_000007,1,116.12,119.9,0,1,57.81,0,1,1,0.6931471805599453,59.95,1.6994813848349095,1,119.9,0.0,1.0,0,57.81,0,-1,3,1,3,0,1,1,0,1,8,1,1
CUST_000008,48,31.65,1505.07,1,3,43.08,0,0,2304,3.8918202981106265,30.715714285714284,0.4632155169654227,0,31.355625,0.0208333333333333,0.0625,0,43.08,0,1,2,0,2,0,4,0,0,2,0,0,0
CUST_000009,22,90.96,2038.53,3,2,42.32,0,0,484,3.1354942159291497,88.63173913043478,1.331250661079774,0,92.66045454545454,0.1363636363636363,0.0909090909090909,0,14.106666666666667,0,1,2,0,2,0,1,1,0,3,0,0,0
CUST_000010,29,43.03,1223.31,2,2,79.89,0,0,841,3.4011973816621555,40.777,0.6297682052139697,0,42.18310344827586,0.0689655172413793,0.0689655172413793,0,39.945,0,-1,2,0,3,0,2,0,0,3,3,0,0
CUST_000011,1,61.45,61.05,3,0,21.8,0,1,1,0.6931471805599453,30.525,0.8993552454194385,0,61.05,3.0,0.0,0,7.266666666666667,1,1,1,0,1,1,1,1,0,1,2,0,0
CUST_000013,42,33.59,1474.25,2,1,18.19,0,0,1764,3.7612001156935615,34.28488372093023,0.4916085059990063,0,35.101190476190474,0.0476190476190476,0.0238095238095238,0,9.095,1,1,1,0,1,1,1,1,0,3,0,0,0
CUST_000015,4,54.2,214.08,2,2,65.02,0,1,16,1.6094379124341005,42.816,0.793247425577438,0,53.52,0.5,0.5,0,32.51,0,1,3,1,3,0,2,0,0,1,6,1,1
CUST_000016,4,109.96,453.92,0,2,51.49,0,1,16,1.6094379124341005,90.784,1.6093263268726028,1,113.48,0.0,0.5,0,51.49,0,0,3,1,2,0,1,1,0,3,5,1,1
CUST_000017,8,94.18,717.72,3,5,69.74,0,0,64,2.19722457733622,79.74666666666667,1.37837716865098,1,89.715,0.375,0.625,1,23.246666666666663,0,1,3,1,2,0,1,1,0,2,5,1,1
CUST_000018,17,117.22,1913.58,4,1,63.61,0,0,289,2.8903717578961645,106.31,1.7155805023281787,1,112.5635294117647,0.2352941176470588,0.0588235294117647,0,15.9025,0,0,3,1,2,0,1,1,0,1,3,0,0
CUST_000019,13,79.91,1055.59,6,1,99.44,0,0,169,2.6390573296152584,75.39928571428571,1.169527708079208,0,81.19923076923077,0.4615384615384615,0.0769230769230769,0,16.573333333333334,0,0,3,1,3,0,3,0,0,1,4,0,1
CUST_000020,8,44.17,345.98,6,1,43.73,0,0,64,2.19722457733622,38.44222222222223,0.6464527451615394,0,43.2475,0.75,0.125,0,7.288333333333333,0,0,3,1,1,1,1,1,0,1,3,0,0
CUST_000021,22,52.77,1213.34,5,0,39.72,0,0,484,3.1354942159291497,52.753913043478256,0.7723185728361883,0,55.15181818181818,0.2272727272727272,0.0,0,7.944,0,0,3,1,3,0,2,0,0,1,4,0,0
CUST_000023,8,52.65,418.22,3,2,59.58,0,0,64,2.19722457733622,46.46888888888889,0.7705623054732862,0,52.2775,0.375,0.25,0,19.86,0,1,1,0,1,1,3,0,0,2,0,0,0
CUST_000024,10,87.3,888.55,4,2,35.61,0,0,100,2.3978952727983707,80.77727272727272,1.2776845065112608,0,88.85499999999999,0.4,0.2,0,8.9025,0,-1,3,1,1,1,2,0,0,3,5,1,1
CUST_000025,14,73.08,1050.5,3,3,59.48,0,0,196,2.70805020110221,70.03333333333333,1.0695668240073648,0,75.03571428571429,0.2142857142857142,0.2142857142857142,0,19.826666666666664,0,0,2,0,3,0,1,1,0,3,1,0,0
CUST_000026,36,58.54,2102.29,4,1,55.49,0,0,1296,3.610917912644224,56.81864864864865,0.8567657618690631,0,58.39694444444444,0.1111111111111111,0.0277777777777777,0,13.8725,0,-1,3,1,2,0,2,0,0,2,5,1,1
CUST_000027,5,34.91,169.56,2,1,73.68,0,1,25,1.791759469228055,28.26,0.5109274469909291,0,33.912,0.4,0.2,0,36.84,0,-1,1,0,3,0,1,1,0,3,5,1,0
